district_id,district_name,winner_party
28_4,兵庫県4区,ldp
28_5,兵庫県5区,ldp
28_6,兵庫県6区,ldp
28_7,兵庫県7区,ldp
28_8,兵庫県8区,ldp
28_9,兵庫県9区,ldp
28_10,兵庫県10区,ldp
28_11,兵庫県11区,ldp
28_12,兵庫県12区,ldp
29_1,奈良県1区,ldp
29_2,奈良県2区,ldp
29_3,奈良県3区,ldp
30_1,和歌山県1区,ldp
30_2,和歌山県2区,independent
31_1,鳥取県1区,ldp
31_2,鳥取県2区,ldp
32_1,島根県1区,ldp
32_2,島根県2区,ldp
33_1,岡山県1区,ldp
33_2,岡山県2区,ldp
33_3,岡山県3区,ldp
33_4,岡山県4区,ldp
34_1,広島県1区,ldp
34_2,広島県2区,ldp
34_3,広島県3区,ldp
34_4,広島県4区,ldp
34_5,広島県5区,ldp
34_6,広島県6区,ldp
35_1,山口県1区,ldp
35_2,山口県2区,ldp
35_3,山口県3区,ldp
36_1,徳島県1区,ldp
36_2,徳島県2区,ldp
37_1,香川県1区,chudo
37_2,香川県2区,dpfp
37_3,香川県3区,ldp
38_1,愛媛県1区,ldp
38_2,愛媛県2区,ldp
38_3,愛媛県3区,ldp
39_1,高知県1区,ldp
39_2,高知県2区,ldp
40_1,福岡県1区,ldp
40_2,福岡県2区,ldp
40_3,福岡県3区,ldp
40_4,福岡県4区,ldp
40_5,福岡県5区,ldp
40_6,福岡県6区,ldp
40_7,福岡県7区,ldp
40_8,福岡県8区,ldp
40_9,福岡県9区,independent
40_10,福岡県10区,ldp
40_11,福岡県11区,ldp
41_1,佐賀県1区,ldp
41_2,佐賀県2区,ldp
42_1,長崎県1区,dpfp
42_2,長崎県2区,ldp
42_3,長崎県3区,ldp
43_1,熊本県1区,ldp
43_2,熊本県2区,ldp
43_3,熊本県3区,ldp
43_4,熊本県4区,ldp
44_1,大分県1区,ldp
44_2,大分県2区,ldp
44_3,大分県3区,ldp
45_1,宮崎県1区,chudo
45_2,宮崎県2区,dpfp
45_3,宮崎県3区,ldp
46_1,鹿児島県1区,ldp
46_2,鹿児島県2区,ldp
46_3,鹿児島県3区,chudo
46_4,鹿児島県4区,ldp
47_1,沖縄県1区,ldp
47_2,沖縄県2区,ldp
47_3,沖縄県3区,ldp
47_4,沖縄県4区,ldp
